#SampleID	faith_pd
131-1001.1	13.78450296975429
139-1001.2	17.90233964441935
139-1001.5	11.27664282683565
139-1001.6	15.19246281694867
139-1001.7	17.45534924889622
139-1002.4	13.42658164851605
139-1002.5	11.5637163991338
139-1002.6	10.89820033637312
140-1002.4	14.46529298993903
140-1002.7	19.80018410908101
146-1001.1	38.53628851640033
146-1001.7	35.68942623478307
146-1002.3	36.49443773085031
146-1002.4	31.15854767866561
146-1002.5	35.75993459412027
146-1002.6	33.91331686022687
146-1003.1	31.66714933875221
146-1003.2	32.46222951608215
146-1003.3	31.4239658264248
146-1003.6	32.17450321138898
146-1003.7	40.43067224461949
146-1004.3	33.76487231126631
146-1004.5	36.98341595688795
HC001	24.84591453489749
HC002	30.64086382344501
HC003	27.84690554859797
HC004	55.36830069338004
HC005	42.50680636822941
HC006	40.63129141412355
HC007	76.15012025322287
HC008	38.07721123704987
HC009	39.80047948424498
HC010	45.68003998693327
HC011	33.56956652073947
HC012	32.5884938412715
HC013	56.25430028817397
HC014	47.29986376017327
HC015	46.69226457607083
HC016	34.93004644250847
HC017	55.19886350466101
HC018	44.51630467094408
HC019	37.13368012822144
HC020	37.76290647844557
