"term","estimate","std.error","df","statistic","p.value","immune_product"
"treatment_groupCRS3123_400mg_po_bid:visitFUV3",-0.18971792674246,0.732451546765999,132.028007300566,-0.259017716025209,0.796024975150077,"IL-4"
"treatment_groupVancomycin_125mg_po_qid:visitFUV3",-0.13757813214703,0.680439144166927,119.14589947607,-0.202190208083148,0.840112862464659,"IL-4"
"treatment_groupCRS3123_400mg_po_bid:visitFUV4",0.0595629853930383,0.717426292556367,131.840213608237,0.0830231426015914,0.933959059554814,"IL-4"
"treatment_groupVancomycin_125mg_po_qid:visitFUV4",0.107709474633039,0.690058783860787,121.438594648845,0.156087390164674,0.876223314022186,"IL-4"
"treatment_groupCRS3123_400mg_po_bid:visitScreening",-0.364021155704376,0.753348437632396,140.445594146858,-0.483204235278448,0.629703151052902,"IL-4"
"treatment_groupVancomycin_125mg_po_qid:visitScreening",-0.233846568591855,0.714551349873673,121.691150386478,-0.327263490067155,0.744030893091436,"IL-4"
"(Intercept)",45.7192501046296,12.4534199657762,224.87330167497,3.6712204543228,0.000301592871525974,"IL-6"
"treatment_groupCRS3123_400mg_po_bid",-24.5956228000854,18.8576510392775,227.117612869297,-1.30427818124626,0.193458972938353,"IL-6"
"treatment_groupVancomycin_125mg_po_qid",-36.9842185292117,17.9732878510383,225.067836387465,-2.05773249923637,0.0407680317647361,"IL-6"
"visitD4",-46.8690726093474,18.2331138440171,201.809468364919,-2.57054680897124,0.01087399466151,"IL-6"
"visitFUV1",-46.6158891830837,17.2978193682438,197.099214903805,-2.69489975532196,0.00764898540734312,"IL-6"
"visitFUV2",-46.0749474271623,17.2978193682438,197.099214893019,-2.66362750392393,0.00836978967010812,"IL-6"
"visitFUV3",-46.1576045671727,17.7336400859868,200.134072290792,-2.60282741407653,0.0099379178773178,"IL-6"
"visitFUV4",-47.8697978831172,18.2361191059433,202.28075792117,-2.62499919006978,0.00932668517572791,"IL-6"
"visitScreening",20.5471851119649,19.5432346358532,205.876343238314,1.05137074260316,0.294320842863808,"IL-6"
"treatment_groupCRS3123_400mg_po_bid:visitD4",27.5736322528723,27.0792366561895,206.063109357994,1.01825736829143,0.309749687737254,"IL-6"
"treatment_groupVancomycin_125mg_po_qid:visitD4",38.7770209402007,25.3957260677486,201.510266502857,1.52691129352847,0.128351132092822,"IL-6"
"treatment_groupCRS3123_400mg_po_bid:visitFUV1",25.6220683941317,24.9450188108014,200.952375257835,1.02714167459506,0.305588533646982,"IL-6"
"treatment_groupVancomycin_125mg_po_qid:visitFUV1",39.3298239689331,24.6925127416252,196.316244773353,1.59278338257707,0.112817612717767,"IL-6"
"treatment_groupCRS3123_400mg_po_bid:visitFUV2",37.7972539540085,24.9450188108014,200.952375292951,1.51522250757502,0.131287422478053,"IL-6"
"treatment_groupVancomycin_125mg_po_qid:visitFUV2",37.3377937449905,24.9947865824466,197.290346134094,1.49382326677725,0.13681941000938,"IL-6"
"treatment_groupCRS3123_400mg_po_bid:visitFUV3",30.6026142533838,27.2181804967918,204.884612796553,1.12434459963225,0.262182405988664,"IL-6"
"treatment_groupVancomycin_125mg_po_qid:visitFUV3",39.455569464191,25.3011277040957,199.098939151549,1.55943916514852,0.120480581089145,"IL-6"
"treatment_groupCRS3123_400mg_po_bid:visitFUV4",33.0151645216791,26.6600705423506,204.804885853663,1.23837498738922,0.216994621370532,"IL-6"
"treatment_groupVancomycin_125mg_po_qid:visitFUV4",39.9201655846573,25.6558202450398,200.227958244826,1.55598866858975,0.121289965173227,"IL-6"
"treatment_groupCRS3123_400mg_po_bid:visitScreening",-26.1029667403096,27.9839693799484,208.30100917458,-0.932782850992304,0.35201203164994,"IL-6"
"treatment_groupVancomycin_125mg_po_qid:visitScreening",-28.6423313010928,26.5659269359448,200.471671014207,-1.07816043348138,0.282257755183807,"IL-6"
"(Intercept)",1486.64018050524,239.19856483222,218.71411895856,6.21508821153676,2.56210153139553e-09,"IL-8"
"treatment_groupCRS3123_400mg_po_bid",-405.663396347937,362.008597746237,223.50504912683,-1.12059050219658,0.263664839916994,"IL-8"
"treatment_groupVancomycin_125mg_po_qid",-870.151065906987,345.205853778072,219.162952870541,-2.52067297348438,0.0124249868092685,"IL-8"
"visitD4",-1220.38812130511,347.71740643181,187.29731739796,-3.50971248126009,0.000561849393913216,"IL-8"
"visitFUV1",-1511.20097579739,329.732210015139,181.097834744712,-4.58311602535889,8.51231062532866e-06,"IL-8"
"visitFUV2",-1288.87223031121,329.732210015139,181.097834778348,-3.90884539381833,0.000130922055809091,"IL-8"
"visitFUV3",-1499.31548232432,338.138845476368,185.207512762856,-4.43402319012502,1.58245197696175e-05,"IL-8"
"visitFUV4",-1486.67537511195,347.79188506404,188.012877035844,-4.27461202793217,3.04090433757036e-05,"IL-8"
"visitScreening",-1047.02838567018,372.851210182105,192.589807937834,-2.80816678899553,0.00549565754680213,"IL-8"
"treatment_groupCRS3123_400mg_po_bid:visitD4",245.008109389966,516.640880057785,193.144358736966,0.474232912739238,0.635869513637829,"IL-8"
"treatment_groupVancomycin_125mg_po_qid:visitD4",710.436414179582,484.302665705875,187.110509224661,1.46692649965929,0.144074793157538,"IL-8"
"treatment_groupCRS3123_400mg_po_bid:visitFUV1",434.054151010211,475.680406053366,186.28850573986,0.91249112952009,0.362689601794152,"IL-8"
"treatment_groupVancomycin_125mg_po_qid:visitFUV1",902.142530091937,470.656073767658,180.090099761371,1.91677656015395,0.0568495297506946,"IL-8"
"treatment_groupCRS3123_400mg_po_bid:visitFUV2",229.018622166719,475.680406053366,186.288505752396,0.481454815570069,0.630758350983424,"IL-8"
"treatment_groupVancomycin_125mg_po_qid:visitFUV2",687.588516111501,476.460456328831,181.322330957669,1.44311769629201,0.15071266391643,"IL-8"
"treatment_groupCRS3123_400mg_po_bid:visitFUV3",504.701855799757,519.230923922351,191.622607089919,0.972018099359648,0.332266909527963,"IL-8"
"treatment_groupVancomycin_125mg_po_qid:visitFUV3",1037.61488035397,482.38460591941,183.806147321545,2.15101159452697,0.0327808583053859,"IL-8"
"treatment_groupCRS3123_400mg_po_bid:visitFUV4",491.960073808217,508.579970876362,191.515071389004,0.967320976011882,0.334603562687289,"IL-8"
"treatment_groupVancomycin_125mg_po_qid:visitFUV4",919.862795661142,489.199575351749,185.272313234132,1.88034258819569,0.0616306660579391,"IL-8"
"treatment_groupCRS3123_400mg_po_bid:visitScreening",1159.50657432597,534.027729494726,196.255278970789,2.17124787775167,0.0311122928115086,"IL-8"
"treatment_groupVancomycin_125mg_po_qid:visitScreening",698.389334264034,506.562403600664,185.444846640161,1.37868371063438,0.169653091446478,"IL-8"
"(Intercept)",2.85567698579122,1.16907044216368,227.324163198698,2.44269026296313,0.0153411510389707,"TNF-a"
"treatment_groupCRS3123_400mg_po_bid",1.90389714913987,1.77189358686022,228.539633129271,1.07449858346943,0.283732403456598,"TNF-a"
"treatment_groupVancomycin_125mg_po_qid",-0.859672278459316,1.68735752912734,227.406617615156,-0.509478438101921,0.610910946686034,"TNF-a"
